name,material,city,height,completed
10 Universal City Plaza,steel,Los Angeles,154.22999572754,1984
400 East Ohio Street,concrete,Chicago,154.0,1982
One United Nations Plaza,steel,New York City,153.92999267578,1975
Two United Nations Plaza,steel,New York City,153.92999267578,1981
One Indiana Square,steel,Indianapolis,153.61999511719,1969
Fifth Street Towers II,mixed/composite,Minneapolis,153.4700012207,1988
Vern Riffe Center for Govermnment and the Arts,steel,Columbus,153.4700012207,1989
Johns-Manville Building,steel,New York City,153.32000732422,1931
Bank of America Plaza,steel,Charlotte,153.32000732422,1974
60 Broad Street,steel,New York City,153.32000732422,1962
Carbide & Carbon Building,steel,Chicago,153.32000732422,1929
Lefcourt National Building,steel,New York City,153.32000732422,1928
State Street Financial Center,steel,Boston,153.32000732422,2003
Met 2 Marriott Marquis,concrete,Miami,153.07000732422,2010
El Paso Energy Building,steel,Houston,153.0,1962
One Superior Place,concrete,Chicago,152.91000366211,1999
Hudson Greene West Tower,concrete,Jersey City,152.82000732422,2010
Sheraton New York,concrete,New York City,152.71000671387,1962
Wind,concrete,Miami,152.71000671387,2008
120 North LaSalle,concrete,Chicago,152.71000671387,1992
World Apparel Center,steel,New York City,152.71000671387,1968
10 South LaSalle,mixed/composite,Chicago,152.71000671387,1986
One Park Place,concrete,Houston,152.71000671387,2009
Viewpoint,concrete,Atlanta,152.69999694824,2008
International Gem Tower,steel,New York City,152.66000366211,2013
1450 BRICKELL,concrete,Miami,152.5299987793,2010
One Columbus Place Tower I,concrete,New York City,152.39999389648,1999
One Columbus Place Tower II,concrete,New York City,152.39999389648,1999
Sky Las Vegas,concrete,Las Vegas,152.39999389648,2007
1818 Market Street,steel,Philadelphia,152.39999389648,1974
28 State Street,steel,Boston,152.39999389648,1970
Telesis Tower,steel,San Francisco,152.39999389648,1982
Memorial Hermann Tower,concrete,Houston,152.39999389648,2009
Four World Financial Center,steel,New York City,152.39999389648,1986
One America Plaza,steel,San Diego,152.39999389648,1991
The Tides,concrete,Chicago,152.35000610352,2008
200 South Wacker,concrete,Chicago,152.30000305176,1981
The St. James,concrete,Philadelphia,151.83999633789,2004
Barclay-Vesey Building,steel,New York City,151.78999328613,1926
Parkview West,concrete,Chicago,151.63999938965,2008
Ameriprise Financial Center,mixed/composite,Minneapolis,151.63999938965,2000
80 Pine Street,steel,New York City,151.5,1960
500 North Lake Shore Drive,concrete,Chicago,151.49000549316003,2013
Manchester Grand Hyatt Hotel,concrete,San Diego,151.49000549316003,1992
The Platinum,concrete,New York City,151.17999267578,2008
Financial Times Building,steel,New York City,151.17999267578,1965
Marriott's Custom House,steel,Boston,151.17999267578,1915
Guardian Building,steel,Detroit,151.0299987793,1929
20 Pine,steel,New York City,151.0,1928
55 West Monroe,concrete,Chicago,150.91999816895,1980
Ontario Place,concrete,Chicago,150.88000488281,1983
Avenue Brickell Tower,concrete,Miami,150.88000488281,2007
333 Bush Street,steel,San Francisco,150.88000488281,1986
PNC Tower,steel,Cincinnati,150.88000488281,1913
John Hancock Building,steel,Boston,150.88000488281,1949
The Ritz-Carlton Residences,concrete,Chicago,150.85000610352,2012
50 East Chestnut Street,concrete,Chicago,150.72999572754,2008
Icon Bay,concrete,Miami,150.57000732422,2015
Hilton San Francisco Union Square,steel,San Francisco,150.27000427246,1971
1000 Second Avenue,steel,Seattle,150.27000427246,1986
Fuller Building,steel,New York City,150.0,1929
Akoya Condominiums,concrete,Miami Beach,149.96000671387,2004
Loews Philadelphia Hotel,steel,Philadelphia,149.96000671387,1932
Pacific Gas & Electric Building,steel,San Francisco,149.96000671387,1971
Target Plaza South,mixed/composite,Minneapolis,149.88999938965,2001
200 Riverside Boulevard At Trump Place,concrete,New York City,149.80999755859,1999
Chelsea Stratus,concrete,New York City,149.66000366211,2008
Twelve Centennial Park Tower I,concrete,Atlanta,149.66000366211,2007
CBS Building,concrete,New York City,149.66000366211,1965
Constellation Place,steel,Los Angeles,149.5,2003
235 West Van Buren,concrete,Chicago,149.41000366211,2010
Hess Tower,concrete,Houston,149.35000610352,2010
33 Arch Street,steel,Boston,149.05000305176,2004
Hyatt Regency Denver at the Colorado Convention Center,concrete,Denver,149.0,2005
One Rockefeller Plaza,steel,New York City,149.0,1937
The Bristol,concrete,Chicago,148.74000549316003,2000
1075 Peachtree Office Tower,concrete,Atlanta,148.74000549316003,2010
333 Wacker Drive,steel,Chicago,148.57000732422,1983
50 California Street,steel,San Francisco,148.44000244141,1972
Henry M. Jackson Federal Building,mixed/composite,Seattle,148.44000244141,1974
555 Mission Street,steel,San Francisco,148.44000244141,2008
Espirito Santo Plaza,concrete,Miami,148.39999389648,2004
Park Avenue Condominiums,concrete,Atlanta,148.13999938965,2000
Wolf Point West Tower,concrete,Chicago,148.08000183105,2016
THEHotel,concrete,Las Vegas,147.92999267578,2003
Terminus 100,concrete,Atlanta,147.91000366211,2007
Grant Building,steel,Pittsburgh,147.83000183105,1930
McGraw-Hill Building,steel,New York City,147.83000183105,1931
99 Washington Street,concrete,New York City,147.7799987793,2015
Regalia,concrete,Sunny Isles Beach,147.75,2015
One US Bank Plaza,steel,St. Louis,147.60000610352,1976
St. Regis San Francisco,concrete,San Francisco,147.5299987793,2005
Brickell World Plaza at 600 Brickell,mixed/composite,Miami,147.5299987793,2011
Miami Center,steel,Miami,147.52000427246,1983
1 Bank of America Center,mixed/composite,Charlotte,147.52000427246,2010
Portofino Tower,concrete,Miami Beach,147.5,1997
Panorama Tower III,concrete,Las Vegas,147.32000732422,2009
Spire,concrete,Denver,147.2200012207,2009
Chase Tower,steel,Phoenix,147.2200012207,1972
666 5th Avenue,steel,New York City,147.2200012207,1957
Asia,concrete,Miami,147.2200012207,2007
Excelsior House,concrete,New York City,147.0,1967
Brickell on the River North Tower,concrete,Miami,146.91999816895,2005
Kansas City Power & Light Building,steel,Kansas City,146.61000061035,1931
KPMG Centre,steel,Dallas,146.61000061035,1980
The Regatta,concrete,Chicago,146.44999694824,2007
Three Tequesta Point,concrete,Miami,146.30000305176,2001
160 Madison Avenue,concrete,New York City,146.30000305176,2015
33 North LaSalle,steel,Chicago,146.0,1930
The Century,concrete,Los Angeles,145.69999694824,2010
Paramount at Buckhead,concrete,Atlanta,145.69999694824,2004
Consolidated Gas Building,steel,New York City,145.69999694824,1928
CassaNY,concrete,New York City,145.63999938965,2010
Summit on Lake,concrete,Chicago,145.53999328613,2014
Lincoln Park 2550,concrete,Chicago,145.53999328613,2012
225 Franklin Street,steel,Boston,145.38999938965,1966
The O'Quinn Medical Tower at St. Luke's,concrete,Houston,145.30000305176,1990
W Austin Hotel & Residences,concrete,Austin,145.27000427246,2010
Turnberry Place I,concrete,Las Vegas,145.24000549316003,2001
Turnberry Place II,concrete,Las Vegas,145.24000549316003,2002
Turnberry Place III,concrete,Las Vegas,145.24000549316003,2004
Turnberry Place IV,concrete,Las Vegas,145.24000549316003,2006
Latitude on the River,concrete,Miami,145.19000244141,2007
100 Pine Center,steel,San Francisco,145.10000610352,1972
Bankers Building,steel,Chicago,145.08999633789,1927
The Pinnacle,concrete,Sunny Isles Beach,145.08999633789,1998
Daily News Building,steel,New York City,145.08999633789,1930
Mutual of America Building,steel,New York City,145.08999633789,1995
45 Fremont Center,steel,San Francisco,145.0,1979
400 Park Avenue South,concrete,New York City,144.97999572754,2015
135 West 52nd Street,concrete,New York City,144.7799987793,2015
Electra,mixed/composite,San Diego,144.7799987793,2008
The Murano,concrete,Philadelphia,144.7799987793,2008
Book Tower,steel,Detroit,144.7799987793,1926
The Signature at MGM Grand Tower I,concrete,Las Vegas,144.7799987793,2006
The Signature at MGM Grand Tower II,concrete,Las Vegas,144.7799987793,2006
The Signature at MGM Grand Tower III,concrete,Las Vegas,144.7799987793,2007
Metropolitan Tower,steel,Chicago,144.7799987793,1924
Cook County Administration Building,concrete,Chicago,144.7799987793,1964
Koppers Building,steel,Pittsburgh,144.7799987793,1929
Plaza VII,steel,Minneapolis,144.63999938965,1987
Plaza 440,concrete,Chicago,144.47999572754,1991
American Furniture Mart,mixed/composite,Chicago,144.47999572754,1926
One South Broad,steel,Philadelphia,144.36999511719,1932
Marymount University Dormitory,concrete,New York City,144.16999816895,2001
12 Metrotech Center,steel,New York City,144.16999816895,2005
333 Market Building,steel,San Francisco,144.0,1979
505 West 37th Street East Tower,concrete,New York City,143.86999511719,2010
Park Avenue Place,concrete,New York City,143.86999511719,2004
United States Plywood Building,steel,New York City,143.86999511719,1961
The Link,concrete,New York City,143.55999755859,2007
325 5th Avenue,concrete,New York City,143.55999755859,2006
Hotel InterContinental,steel,Chicago,143.55999755859,1929
"Continuum on South Beach, South Tower",concrete,Miami Beach,143.5,2002
1100 Millicento Residences,concrete,Miami,143.30000305176,2015
Embassy Suites Times Square,mixed/composite,New York City,143.25999450683997,1990
Aire,concrete,New York City,143.25999450683997,2010
Wyndham New Yorker Hotel,steel,New York City,143.25999450683997,1930
City Place,concrete,Chicago,143.25999450683997,1990
Hampshire House,steel,New York City,143.25999450683997,1931
"Roosevelt University Academic, Student Life Residence Center",mixed/composite,Chicago,143.0,2012
3630 Peachtree Road,concrete,Atlanta,142.94999694824,2009
The Carlyle,concrete,Minneapolis,142.85000610352,2007
Columbus Plaza,concrete,Chicago,142.64999389648,1980
Scripps Center,steel,Cincinnati,142.64999389648,1990
U.S. Bancorp Center,steel,Minneapolis,142.5,2000
AT&T Tower,steel,Minneapolis,142.33999633789,1991
Coast at Lakeshore East,concrete,Chicago,142.2200012207,2013
The Sterling,concrete,Chicago,142.03999328613,2001
650 California Street,steel,San Francisco,142.0,1964
Qwest Plaza,steel,Seattle,142.0,1976
Allure Las Vegas Tower I,concrete,Las Vegas,141.96000671387,2007
The Marc,concrete,New York City,141.55999755859,2004
Franklin County Courthouse,steel,Columbus,141.39999389648,1991
Tribune Tower,steel,Chicago,141.11999511719,1925
200 North Dearborn Apartments,concrete,Chicago,141.07000732422,1989
Randolph Tower,steel,Chicago,141.02000427246,1929
Victory Apartments,concrete,New York City,140.91999816895,2002
Smith Tower,steel,Seattle,140.82000732422,1914
Montague-Court Building,steel,New York City,140.82000732422,1927
Presidential Towers I,concrete,Chicago,140.60000610352,1985
Presidential Towers II,concrete,Chicago,140.60000610352,1985
Presidential Towers III,concrete,Chicago,140.60000610352,1985
Presidential Towers IV,concrete,Chicago,140.60000610352,1985
Jumeirah Essex House,steel,New York City,140.50999450683997,1931
Trump Towers I,concrete,Sunny Isles Beach,140.5,2008
Trump Towers II,concrete,Sunny Isles Beach,140.5,2008
Trump Towers III,concrete,Sunny Isles Beach,140.5,2008
480 Washington Boulevard,steel,Jersey City,140.5,2004
The New York,concrete,Chicago,140.49000549316003,1986
One Miami East Tower,concrete,Miami,140.21000671387,2005
8 Stone Street,concrete,New York City,139.69999694824,2010
Palms Fantasy Tower,concrete,Las Vegas,139.60000610352,2006
The Residences at Grand Plaza,concrete,Chicago,139.60000610352,2003
600 Fairbanks Court,concrete,Chicago,139.5,2008
66 Rockwell Place,concrete,New York City,139.30000305176,2014
Swissotel Chicago,concrete,Chicago,139.28999328613,1989
Equitable Building,steel,Chicago,139.28999328613,1965
One Union Square,steel,Seattle,139.0,1981
Trump Parc Condominiums,steel,New York City,139.0,1930
Atlantic Wharf,mixed/composite,Boston,139.0,2011
Kingsbury Plaza,concrete,Chicago,138.83999633789,2007
The Monaco North Tower,concrete,Jersey City,138.69999694824,2011
The Monaco South Tower,concrete,Jersey City,138.69999694824,2011
Olive 8,concrete,Seattle,138.69000244141,2009
The Pinnacle Marina Tower,concrete,San Diego,138.67999267578,2005
Paramount Building,steel,New York City,138.67999267578,1927
Accenture Tower,concrete,Minneapolis,138.52000427246,1987
400 North LaSalle,concrete,Chicago,138.42999267578,2005
Equitable Life Building,steel,Los Angeles,138.39999389648,1969
Trump SoHo Hotel Condominium,concrete,New York City,138.38000488281,2010
Eleven-Eleven Third Avenue,steel,Seattle,138.38000488281,1980
City Hall,steel,Los Angeles,138.38000488281,1928
909 Walnut,steel,Kansas City,138.30000305176,1931
717 Texas Avenue,concrete,Houston,138.19999694824,2003
ABN AMRO Plaza,mixed/composite,Chicago,138.13000488281,2003
Turnberry Towers - East Tower,concrete,Las Vegas,138.08000183105,2007
Turnberry Towers - West Tower,concrete,Las Vegas,138.08000183105,2008
600 North Lake Shore Drive - North Tower,concrete,Chicago,138.08000183105,2008
53rd at Third,steel,New York City,138.08000183105,1986
Spire,concrete,Atlanta,138.0,2005
510 Madison,steel,New York City,137.86999511719,2010
AT&T Center,steel,Los Angeles,137.80000305176,1965
Roanoke Building,steel,Chicago,137.77000427246,1927
The Dylan,concrete,New York City,137.77000427246,2013
High Street Tower,steel,Boston,137.77000427246,1990
1065 Avenue of the Americas,steel,New York City,137.4700012207,1957
Buckhead Grand,concrete,Atlanta,137.4700012207,2004
Metropolitan Life North Building,steel,New York City,137.4700012207,1950
7 Bryant Park,mixed/composite,New York City,137.41000366211,2015
Riverbend Condominiums,concrete,Chicago,137.38999938965,2002
The Shoreham,concrete,Chicago,137.16000366211,2005
Eugenie Terrace on the Park,concrete,Chicago,137.16000366211,1987
Tower 31,concrete,New York City,137.16000366211,2006
47 East 34th Street,concrete,New York City,137.16000366211,2009
Gateway Center III,mixed/composite,Chicago,137.16000366211,1971
100 Summer Street,steel,Boston,137.16000366211,1974
Three Wells Fargo Center,concrete,Charlotte,137.16000366211,2000
One Cleveland Center,steel,Cleveland,137.16000366211,1983
Westin Seattle North Tower,steel,Seattle,137.0,1982
Veer Towers East,mixed/composite,Las Vegas,137.0,2010
Veer Towers West,mixed/composite,Las Vegas,137.0,2010
Hubbard Place,concrete,Chicago,136.96000671387,2013
One Miami West Tower,concrete,Miami,136.86000061035,2005
200 Squared,concrete,Chicago,136.86000061035,2010
Millennium Point,concrete,New York City,136.86000061035,2001
Chateau Beach Residences,concrete,Sunny Isles Beach,136.80000305176,2015
50 Broadway,steel,New York City,136.55000305176,1927
Adams Express Building,steel,New York City,136.55000305176,1916
W Minneapolis - The Foshay,steel,Minneapolis,136.55000305176,1929
1250 Broadway,steel,New York City,136.30000305176,1970
La Perla Ocean Residences,concrete,Sunny Isles Beach,136.25,2006
Ivy Tower,concrete,New York City,136.25,2003
Ann & Robert H. Lurie Children's Hospital of Chicago,mixed/composite,Chicago,136.19000244141,2012
University Club Tower,concrete,Milwaukee,136.0,2007
Greenwich Club Residences,steel,New York City,135.94000244141,1931
Manchester Grand Hyatt Seaport,steel,San Diego,135.94000244141,2003
300 South Wacker,concrete,Chicago,135.63999938965,1971
1400 Broadway,steel,New York City,135.63999938965,1931
120 Wall Street,steel,New York City,135.60000610352,1930
Fisher Building,steel,Detroit,135.4700012207,1928
Premier on Pine,concrete,Seattle,135.33000183105,2015
Bridge Tower Place,concrete,New York City,135.0299987793,2001
100 Park Avenue,steel,New York City,135.0299987793,1949
Element New York Times Square West,concrete,New York City,135.0,2010
Daily Commerce Building,steel,New York City,135.0,1931
City Hall,steel,Kansas City,135.0,1937
Optima Chicago Center,concrete,Chicago,134.89999389648,2014
Lucerne Apartments,concrete,New York City,134.88000488281,1991
Harriman Building,steel,New York City,134.7200012207,1928
Met 1,concrete,Miami,134.11000061035,2007
Fifteen Twenty-One Second Avenue,concrete,Seattle,134.11000061035,2008
Cirrus,concrete,Seattle,134.10000610352,2015
The Olivia,mixed/composite,New York City,134.10000610352,2001
Insignia South Tower,concrete,Seattle,134.0,2015
The Mondrian,concrete,New York City,133.80999755859,1992
One Park Tower,steel,Atlanta,133.80999755859,1961
W Dallas Victory Hotel & Residences,concrete,Dallas,133.80000305176,2006
Wrigley Building,steel,Chicago,133.50999450683997,1922
Park Laurel Condominiums,concrete,New York City,133.5,2001
Willoughby Tower,steel,Chicago,133.5,1929
The Crest,steel,New York City,133.5,1929
Borden Building,steel,Columbus,133.5,1974
Empire Trust Company Building,steel,New York City,133.5,1927
One California,steel,San Francisco,133.5,1969
Cadillac Tower,steel,Detroit,133.19999694824,1927
Residence Inn New York Manhattan/Times Square,concrete,New York City,133.14999389648,2006
Cira Centre,steel,Philadelphia,133.10000610352,2005
David Stott Building,steel,Detroit,133.08000183105,1929
Crystal Point,concrete,Jersey City,132.89999389648,2009
San Francisco Marriott,steel,San Francisco,132.89999389648,1989
750 3rd Avenue,steel,New York City,132.88999938965,1958
Annenberg Pavillion,steel,New York City,132.88999938965,1974
140 New Montgomery Street,steel,San Francisco,132.69999694824,1925
Russ Building,steel,San Francisco,132.60000610352,1927
Archstone Midtown West,concrete,New York City,132.58999633789,1998
745 5th Avenue,steel,New York City,132.58999633789,1931
180 North LaSalle,concrete,Chicago,132.58000183105,1972
Spring,concrete,Austin,132.28999328613,2009
Fontainebleau Tower Suites,concrete,Miami Beach,132.25,2005
Silver Tower,concrete,Chicago,132.08000183105,2010
5900 Wilshire,steel,Los Angeles,132.0,1971
225 West Wacker,concrete,Chicago,132.0,1989
The Vanderbilt,concrete,New York City,131.97999572754,1986
ITT Building,steel,New York City,131.97999572754,1928
Loft 2,concrete,Miami,131.97999572754,2007
Chrysler Building East,steel,New York City,131.74000549316003,1999
535 5th Avenue,steel,New York City,131.67999267578,1926
Bush Tower,steel,New York City,131.67999267578,1917
The Savoy Condominiums,concrete,New York City,131.66999816895,1986
218 West 35th Street,concrete,New York City,131.66999816895,2015
BKLYN Air,concrete,New York City,131.66999816895,2014
1130 South Michigan,concrete,Chicago,131.36999511719,1967
Carl B. Stokes Federal Courthouse,steel,Cleveland,131.07000732422,2002
Baltimore Marriott Waterfront Hotel,concrete,Baltimore,131.05999755859,2001
Memorial Hermann Medical Plaza,concrete,Houston,131.03999328613,2007
McClurg Court Center A,concrete,Chicago,131.0,1971
McClurg Court Center B,concrete,Chicago,131.0,1971
Turnberry Ocean Colony North Tower,concrete,Sunny Isles Beach,131.0,2007
Turnberry Ocean Colony South Tower,concrete,Sunny Isles Beach,131.0,2008
1700 Market Street,concrete,Philadelphia,131.0,1968
Fred F. French Building,steel,New York City,130.75999450683997,1927
AT&T Building,steel,New York City,130.75999450683997,1930
Linc LIC,concrete,New York City,130.75,2013
First Hawaiian Center,steel,Honolulu,130.75,1996
1555 North Astor,concrete,Chicago,130.55999755859,1975
One Carnegie Hill,concrete,New York City,130.5,2006
712 Main Street,steel,Houston,130.46000671387,1929
101 Warren Street,concrete,New York City,130.46000671387,2008
Manhattan Plaza Apartments I,concrete,New York City,130.44999694824,1977
Manhattan Plaza Apartments II,concrete,New York City,130.44999694824,1977
Harlem River Park Tower I,concrete,New York City,130.44999694824,1975
Harlem River Park Tower II,concrete,New York City,130.44999694824,1975
Toren,steel,New York City,130.25,2009
Marbella Apartments,concrete,Jersey City,130.19999694824,2003
Finland House,concrete,New York City,130.14999389648,1970
Sheraton Kansas City Hotel at Crown Center,steel,Kansas City,130.0,1980
Evo at Cira Centre South,concrete,Philadelphia,130.0,2014
AMA Building,steel,Chicago,130.0,1990
500 Brickell East Tower,concrete,Miami,129.85000610352,2007
500 Brickell West Tower,concrete,Miami,129.85000610352,2007
Eugenie Square,concrete,Chicago,129.85000610352,1972
The Spires,concrete,Houston,129.85000610352,1983
The Carlyle,steel,New York City,129.85000610352,1931
Milwaukee Center,concrete,Milwaukee,129.85000610352,1988
Waihonua at Kewalo,concrete,Honolulu,129.80000305176,2015
Ocean Two Condominiums I,concrete,Sunny Isles Beach,129.80000305176,2001
Ocean Two Condominiums II,concrete,Sunny Isles Beach,129.80000305176,2001
The Promenade,concrete,New York City,129.80000305176,1987
Fairmont Hotel,concrete,Chicago,129.77000427246,1987
The Rushmore,concrete,New York City,129.53999328613,2008
Avenue,concrete,Charlotte,129.53999328613,2007
Blue on the Bay,concrete,Miami,129.53999328613,2005
1835 Market Street,steel,Philadelphia,129.53999328613,1986
Yorkville Towers,concrete,New York City,129.5,1975
505 Montgomery,steel,San Francisco,129.5,1988
Sky55,concrete,Chicago,129.41000366211,2006
Harbor Club East,concrete,San Diego,129.24000549316003,1992
Harbor Club West,concrete,San Diego,129.24000549316003,1992
Time Warner Building,steel,New York City,129.24000549316003,1947
Whitehall Building Annex,steel,New York City,129.24000549316003,1910
One PNC Plaza,steel,Pittsburgh,129.24000549316003,1972
Mortimer B. Zuckerman Research Center,steel,New York City,129.24000549316003,2008
1800 Club,concrete,Miami,129.05000305176,2007
Rio Condominium & Spa,concrete,New York City,129.0,1986
VUE at Brickell,concrete,Miami,129.0,2004
Fifth Third Center,steel,Cincinnati,129.0,1969
Brickell on the River South Tower,concrete,Miami,128.92999267578,2007
ICON at South Beach,concrete,Miami Beach,128.92999267578,2004
Palms Casino Hotel,concrete,Las Vegas,128.92999267578,2001
The Bowie,concrete,Austin,128.89999389648,2015
Rio Masquerade Tower,concrete,Las Vegas,128.86000061035,1997
195 Broadway,steel,New York City,128.63000488281,1922
Wells Fargo Center,steel,Salt Lake City,128.63000488281,1998
Archstone Chelsea,concrete,New York City,128.61999511719,2004
180 Riverside Boulevard at Trump Place,concrete,New York City,128.57000732422,1998
Moana Pacific East Tower,concrete,Honolulu,128.5299987793,2008
Moana Pacific West Tower,concrete,Honolulu,128.5299987793,2008
2020 North Lincoln Park West,concrete,Chicago,128.32000732422,1971
CenturyLink Building,steel,Minneapolis,128.30000305176,1932
One Sutton Place North,concrete,New York City,128.16999816895,2003
Two Sutton Place North,concrete,New York City,128.16999816895,2014
Skybridge,concrete,Chicago,128.16999816895,2003
Market Tower,concrete,Indianapolis,128.16999816895,1988
2 Columbus,concrete,New York City,128.02000427246,1998
The Infinity II,concrete,San Francisco,128.02000427246,2009
Vantage Pointe Condominium,concrete,San Diego,128.02000427246,2009
Park Place on Peachtree,concrete,Atlanta,128.02000427246,1986
Justice Center,steel,Cleveland,128.02000427246,1977
The Mark on Brickell,concrete,Miami,128.0,2001
Panorama Tower I,concrete,Las Vegas,128.0,2006
Panorama Tower II,concrete,Las Vegas,128.0,2008
JPMorgan Chase Building,steel,San Francisco,128.0,2002
LDS Office Building,steel,Salt Lake City,128.0,1973
2828 Peachtree Luxury Condominiums,concrete,Atlanta,127.87000274658001,2002
Federal Building,steel,Cleveland,127.70999908446998,1967
Keola Lai,concrete,Honolulu,127.69999694824,2008
100 East Pratt Street,steel,Baltimore,127.55000305176,1992
Hokua at 1288 Ala Moana,concrete,Honolulu,127.41000366211,2006
Pacifica Honolulu,concrete,Honolulu,127.40000152588001,2012
Axis on Brickell North Tower,concrete,Miami,127.40000152588001,2008
Axis on Brickell South Tower,concrete,Miami,127.40000152588001,2008
The Paramount,concrete,San Francisco,127.40000152588001,2002
80 Broad Street,steel,New York City,127.40000152588001,1931
Pacwest Center,mixed/composite,Portland,127.40000152588001,1984
Nauru Tower,concrete,Honolulu,127.13999938965,1992
Alta at K Station - East Tower,concrete,Chicago,127.13999938965,2010
Providian Financial Building,steel,San Francisco,127.0,1983
Ko'olani,concrete,Honolulu,126.80000305176,2006
Crown Building,steel,New York City,126.80000305176,1921
2 East Erie,concrete,Chicago,126.48999786376999,2002
10 East Delaware,concrete,Chicago,126.38999938965,2010
MCI Center,steel,Los Angeles,126.30000305176,1973
801 South Street Building A,concrete,Honolulu,126.0299987793,2015
One Broadway on Brickell,concrete,Miami,126.0,2005
Three Embarcadero Center,steel,San Francisco,126.0,1976
Two Embarcadero Center,steel,San Francisco,126.0,1974
50 Columbus,concrete,Jersey City,125.90000152588001,2007
First Allied Plaza,steel,San Diego,125.59999847411999,2005
"Continuum on South Beach, North Tower",concrete,Miami Beach,125.5,2002
Ashton,concrete,Austin,125.5,2009
The Club at Brickell Bay,concrete,Miami,125.30000305176,2004
505 5th Avenue,concrete,New York City,125.26999664306999,2006
MoMo,mixed/composite,Chicago,125.13999938965,2008
Niels Eperson Building,steel,Houston,125.05000305176,1927
52 East End Avenue,concrete,New York City,125.0,1987
Two Tequesta Point,concrete,Miami,125.0,1999
National City Center,concrete,Cleveland,125.0,1980
Chemed Center,concrete,Cincinnati,125.0,1990
One City Centre,steel,Houston,125.0,1961
595 Market Street,concrete,San Francisco,125.0,1979
1100 North Lake Shore Drive,concrete,Chicago,124.9700012207,1979
Regional Enterprise Tower,steel,Pittsburgh,124.9700012207,1953
Citylights at Queens Landing,concrete,New York City,124.87000274658001,1997
Westin Building,steel,Seattle,124.66999816895,1981
1270 Avenue of the Americas,steel,New York City,124.66000366211,1932
Museum Tower,concrete,Chicago,124.63999938965,2006
JW Marriott Convention Hotel,concrete,Austin,124.40000152588001,2015
Malibu East,concrete,Chicago,124.36000061035,1970
1410 Broadway,steel,New York City,124.36000061035,1931
300 North Meridian,concrete,Indianapolis,124.36000061035,1989
Three Nationwide Plaza,steel,Columbus,124.36000061035,1988
Commerce Tower,steel,Kansas City,124.09999847411999,1965
U.S. Bank Center,concrete,Phoenix,124.09999847411999,1974
Murano Grande at Portofino,concrete,Miami Beach,124.05999755859,2003
Carbonell Condominium,concrete,Miami,124.0,2005
Aspira Apartments,concrete,Seattle,124.0,2010
1010 Peachtree,concrete,Atlanta,124.0,2009
River House Apartments,steel,New York City,123.5,1931
DKLB BKLN,concrete,New York City,123.44999694824,2010
2727 Kirby,concrete,Houston,123.44999694824,2009
Wells Fargo Building,steel,Philadelphia,123.44999694824,1927
Hilton Garden Inn,concrete,New York City,123.44000244141,2014
Hilton Grand Vacations Club II,concrete,Las Vegas,123.40000152588001,2006
Ocean Three Condominiums,concrete,Sunny Isles Beach,123.40000152588001,2003
Hennepin County Government Center,steel,Minneapolis,123.23000335693001,1977
1300 North Lake Shore Drive,concrete,Chicago,123.13999938965,1965
West End Towers,concrete,New York City,123.13999938965,1995
The Ritz-Carlton Philadelphia,steel,Philadelphia,123.13999938965,1930
Time-Life Building,concrete,Chicago,123.13999938965,1969
Hunter's Point South Tower 1,concrete,New York City,123.09999847411999,2015
Fifty South Sixth,steel,Minneapolis,123.08999633789,2001
The Montgomery,concrete,Chicago,123.04000091553002,1972
Horizon Apartments,concrete,New York City,122.83999633789,1989
Ocean 4,concrete,Sunny Isles Beach,122.83000183105,2006
Galter Pavilion,mixed/composite,Chicago,122.68000030518,1997
US Bank Tower,steel,Sacramento,122.59999847411999,2008
Murano at Portofino,concrete,Miami Beach,122.5,2001
Four Seasons Residences Austin,concrete,Austin,122.25,2010
BMO Plaza,steel,Indianapolis,122.23000335693001,1988
Helena,concrete,New York City,122.2200012207,2005
One American Center,concrete,Austin,122.2200012207,1984
1441 Broadway,steel,New York City,122.19999694824,1930
The Mercer,concrete,Houston,122.06999969482,2003
420 East Ohio,concrete,Chicago,122.0,1990
100 Van Ness,steel,San Francisco,122.0,1974
Hawaiki Tower,concrete,Honolulu,121.91999816895,1999
One Waterfront Tower - Makai,concrete,Honolulu,121.91999816895,1990
One Waterfront Tower - Mauka,concrete,Honolulu,121.91999816895,1990
Buckingham Plaza,concrete,Chicago,121.91999816895,1982
46-15 Center Boulevard,concrete,New York City,121.91999816895,2013
Harbor Towers I,concrete,Boston,121.91999816895,1971
Millennium Park Plaza,concrete,Chicago,121.91999816895,1982
Oro Condominium,concrete,New York City,121.91999816895,2008
777 North Michigan,concrete,Chicago,121.91999816895,1964
One Logan Square,concrete,Philadelphia,121.91999816895,1983
The Palace,concrete,Miami,121.90000152588001,1982
420 West 42nd Street,concrete,New York City,121.90000152588001,2001
Imperial Plaza,concrete,Honolulu,121.90000152588001,1992
The Chatham,concrete,New York City,121.90000152588001,2000
Southwestern Telephone Building,steel,St. Louis,121.66000366211,1926
River View II,concrete,Chicago,121.62000274658001,2004
75 Livingston Street,steel,New York City,121.59999847411999,1926
The Charles,concrete,New York City,121.30999755859,2015
One Congress Plaza,concrete,Austin,121.30999755859,1987
1N4th,concrete,New York City,121.30000305176,2015
Capitol at Chelsea,concrete,New York City,121.30000305176,2001
One Maritime Plaza,steel,San Francisco,121.30000305176,1967
