Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position
Second,7,20,7,Right-handed,On your right side
Fourth,4,5,7.5,Right-handed,On your right side
First,3,12,8,Right-handed,On your left side
Second,6,4,7,Right-handed,On your right side
First,6,7,8,Right-handed,On your left side
First,6,4,8,Left-handed,On your left side
Third,8,10,8,Right-handed,On your right side
First,4,5,7,Right-handed,On your stomach
Second,8,8,7.5,Right-handed,On your left side
Fourth,4,3,5,Right-handed,On your right side
Fourth,7,4,8,Right-handed,On your stomach
First,4,10,8,Right-handed,On your right side
Third,7,3,9,Right-handed,On your right side
Third,5,4,6,Right-handed,On your back
Second,7,2,8,Right-handed,On your right side
Second,6,4,6,Right-handed,On your right side
Third,5,5,9,Right-handed,On your stomach
First,8,8,8,Right-handed,On your stomach
Second,7,5,7,Right-handed,On your back
Second,8,3,6,Right-handed,On your back
First,3,15,7,Right-handed,On your right side
Fourth,4,5,7,Right-handed,On your back
Second,7,3,7,Left-handed,On your back
Third,4,5,7,Right-handed,On your right side
Third,3,4,8,Right-handed,On your right side
Third,8,7,8,Right-handed,On your left side
First,3,5,6,Right-handed,On your left side
Third,5,6,8,Right-handed,On your stomach
Third,7,12,9,Right-handed,On your stomach
Third,7,3,7,Right-handed,On your right side
First,7,0,6,Right-handed,On your stomach
Third,5,5,7,Right-handed,On your right side
Second,8,7,6,Right-handed,On your stomach
Third,7,5,8,Right-handed,On your left side
First,4,3,6,Left-handed,On your left side
Third,7,12,7.5,Right-handed,On your right side
Fourth,7,4,6,Right-handed,On your left side
Fourth,7,4,6,Right-handed,On your left side
Third,3,3,6,Right-handed,On your back
First,5,60,8,Right-handed,On your right side
Third,3,4,6,Right-handed,On your right side
Second,6,10,7,Right-handed,On your stomach
Third,7,6,7,Right-handed,On your right side
Fourth,8,5,7,Right-handed,On your right side
First,6,3,6,Left-handed,On your right side
Second,3,5,7,Right-handed,On your right side
First,5,5,8,Right-handed,On your back
First,8,30,8.5,Right-handed,On your stomach
Second,6,10,9,Right-handed,On your right side
First,7,6,6,Right-handed,On your left side
First,8,7,7,Right-handed,On your stomach
First,6,10,6.5,Right-handed,On your left side
Third,6,2,9,Right-handed,On your right side
Third,2,3,7,Right-handed,On your back
Third,5,7,7,Right-handed,On your stomach
Third,3,5,6,Right-handed,On your back
First,3,2,8,Right-handed,On your left side
Third,6,7,8,Right-handed,On your right side
Second,8,5,7,Right-handed,On your stomach
First,10,5,8,Right-handed,On your back
Third,2,3,7,Right-handed,On your left side
First,6,4,8,Right-handed,On your stomach
Third,5,4,8,Right-handed,On your left side
First,7,5,7,Right-handed,On your right side
First,4,5,6,Right-handed,On your right side
Third,3,3,7,Right-handed,On your left side
Second,7,5,8,Right-handed,On your left side
Second,5,4,7,Right-handed,On your stomach
Fourth,4,8,7,Right-handed,On your right side
Second,6,10,5,Right-handed,On your right side
Second,6,7,10,Right-handed,On your left side
Second,7,7,8,Right-handed,On your left side
First,8,5,6,Right-handed,On your back
Second,4,3,7,Right-handed,On your back
Second,5,5,6,Right-handed,On your back
Third,5,6,4,Right-handed,On your stomach
Second,1,2,10,Right-handed,On your back
Second,8,30,8,Right-handed,On your stomach
First,7,3,4,Right-handed,On your stomach
First,6,3,7,Right-handed,On your right side
First,4,12,8,Right-handed,On your stomach
First,10,10,7,Right-handed,On your right side
Fourth,6,5,7,Right-handed,On your stomach
Second,4,10,7,Right-handed,On your left side
Fourth,5,10,8.5,Ambidextrous,On your left side
First,4,5,8,Right-handed,On your right side
First,3,3,7,Right-handed,On your right side
Second,6,3,6,Right-handed,On your right side
First,7,10,9,Right-handed,On your stomach
First,4,2,7,Right-handed,On your right side
First,6,6,8,Left-handed,On your stomach
Second,8,4,7,Right-handed,On your stomach
Fourth,7,6,7,Right-handed,On your stomach
Third,6,10,6,Right-handed,On your left side
Third,5,3,7,Right-handed,On your stomach
Second,4,7,7,Right-handed,On your back
First,4,4,7,Right-handed,On your right side
First,5,8,8,Right-handed,On your right side
Second,8,7,7,Left-handed,On your left side
First,4,2,8,Right-handed,On your stomach
Third,3,15,5.5,Right-handed,On your right side
Fourth,6,2,8,Left-handed,On your left side
Third,4,10,6,Right-handed,On your left side
First,8,5,7,Right-handed,On your left side
First,8,4,8,Right-handed,On your right side
First,5,7,7,Right-handed,On your stomach
Second,6,20,8,Right-handed,On your left side
Fourth,6,3,6,Right-handed,On your right side
Third,6,7,8,Right-handed,On your back
First,4,5,8,Right-handed,On your stomach
Fourth,2,10,8,Left-handed,On your stomach
First,8,25,7,Right-handed,On your stomach
Third,9,15,7,Right-handed,On your right side
Second,8,3,7.5,Right-handed,On your right side
Second,7,7,6,Right-handed,On your left side
Third,7,7,7,Right-handed,On your right side
Second,5,3,7,Right-handed,On your right side
Second,3,12,7,Right-handed,On your right side
Fourth,4,5,6,Right-handed,On your back
First,8,6,9,Right-handed,On your right side
Fourth,7,3,5,Right-handed,On your stomach
Third,6,5,8,Right-handed,On your stomach
First,6,3,6,Right-handed,On your stomach
Second,5,6,8,Right-handed,On your back
Third,8,6,6,Right-handed,On your stomach
First,3,10,7,Right-handed,On your back
First,5,2,7,Right-handed,On your right side
Second,9,7,7,Right-handed,On your left side
Fourth,10,10,8,Right-handed,On your right side
First,6,5,6.5,Right-handed,On your back
Second,8,4,8,Right-handed,On your stomach
First,7,6,7,Right-handed,On your right side
Fourth,7,3,6,Right-handed,On your stomach
Fourth,3,5,6,Right-handed,On your left side
Second,4,5,6,Left-handed,On your stomach
Third,8,4,9,Left-handed,On your right side
Third,7,2,7,Right-handed,On your stomach
First,7,8,8,Right-handed,On your right side
First,4,4,7,Right-handed,On your back
Third,3,10,7.5,Right-handed,On your left side
Second,6,5,7,Right-handed,On your stomach
Third,2,4,6.5,Right-handed,On your back
Third,7,10,8,Right-handed,On your left side
Third,8,10,4,Ambidextrous,On your stomach
Third,7,6,7,Right-handed,On your back
First,6,14,8,Right-handed,On your left side
Fourth,7,20,7,Right-handed,On your right side
Third,7,3,7,Right-handed,On your left side
Second,7,15,7,Right-handed,On your left side
Third,8,5,7,Right-handed,On your right side
First,3,4,7,Right-handed,On your back
Second,7,9,8,Right-handed,On your right side
Second,8,10,9,Right-handed,On your left side
Third,4,7,7,Right-handed,On your back
First,4,15,7,Right-handed,On your left side
Second,4,2,7,Right-handed,On your left side
Third,4,20,6,Right-handed,On your right side
Second,7,15,8,Right-handed,On your left side
First,10,50,7,Right-handed,On your left side
Third,4,5,6,Right-handed,On your back
Fourth,8,4,7,Right-handed,On your right side
First,5,2,8,Right-handed,On your back
Third,3,5,7,Left-handed,On your back
Second,4,4,8,Right-handed,On your right side
Second,4,3,6,Right-handed,On your right side
Third,6,5,7,Right-handed,On your back
Second,8,7,9,Right-handed,On your right side
Third,3,8,7,Right-handed,On your left side
Second,7,12,8,Right-handed,On your left side
First,4,15,8,Right-handed,On your stomach
First,6,11,8,Right-handed,On your left side
Second,8,8,9,Right-handed,On your left side
Second,8,6,8,Left-handed,On your left side
Second,9,8,8,Right-handed,On your right side
First,7,10,8,Left-handed,On your back
Third,6,3,5,Right-handed,On your stomach
First,4,3,8,Right-handed,On your left side
First,5,6,8,Right-handed,On your right side
First,8,6,7,Right-handed,On your right side
Fourth,8,4,7,Right-handed,On your back
Second,5,4,8,Right-handed,On your back
Second,6,5,8,Right-handed,On your left side
Second,8,10,10,Right-handed,On your left side
Third,5,6,7,Right-handed,On your right side
Third,4,2,7,Right-handed,On your right side
Fourth,9,6,8,Left-handed,On your stomach
Third,2,2,6,Right-handed,On your stomach
First,4,8,8,Right-handed,On your right side
Fourth,8,5,6,Right-handed,On your back
Third,6,3,8,Right-handed,On your stomach
Third,3,4,8,Right-handed,On your left side
First,4,5,7,Right-handed,On your right side
Second,7,3,5,Left-handed,On your back
First,8,5,6,Right-handed,On your right side
Third,7,6,7.5,Right-handed,On your right side
First,4,5,7,Right-handed,On your right side
Third,5,6,6,Right-handed,On your back
Third,5,2,6,Right-handed,On your left side
Second,8,20,7.5,Right-handed,On your right side
First,8,15,7,Right-handed,On your right side
Second,3,5,6,Right-handed,On your left side
Fourth,6,5,6,Right-handed,On your back
First,8,40,6,Right-handed,On your right side
Second,7,2,7,Right-handed,On your left side
Third,3,2,8,Right-handed,On your back
Fourth,4,5,8,Right-handed,On your back
Second,7,10,6,Right-handed,On your stomach
First,3,5,8,Right-handed,On your back
Second,5,10,7,Right-handed,On your back
First,6,10,6,Right-handed,On your back
Fourth,4,10,7,Right-handed,On your left side
Third,8,15,7,Left-handed,On your left side
First,4,3,6,Right-handed,On your right side
Fourth,1,1,5,Right-handed,On your right side
Second,4,5,7,Right-handed,On your left side
Second,1,2,7,Right-handed,On your stomach
First,5,4,7,Right-handed,On your left side
First,3,15,6,Right-handed,On your stomach
First,9,25,4,Right-handed,On your right side
First,8,20,9,Right-handed,On your back
Second,6,10,7,Right-handed,On your stomach
First,2,4,7,Right-handed,On your back
Second,4,5,8,Right-handed,On your left side
Third,9,15,8,Right-handed,On your right side
Second,7,10,7,Right-handed,On your left side
Second,3,14,7,Right-handed,On your right side
First,2,2,6,Right-handed,On your left side
First,9,7,7,Right-handed,On your right side
Fourth,3,1,4,Right-handed,On your back
First,3,5,7,Right-handed,On your back
First,6,5,6,Right-handed,On your right side
Second,6,8,7,Right-handed,On your back
Third,4,2,8,Right-handed,On your left side
Second,5,3,7.5,Right-handed,On your left side
Second,8,7,8,Right-handed,On your stomach
Fourth,4,3,8,Right-handed,On your right side
Second,8,3,7,Right-handed,On your back
First,5,3,7,Right-handed,On your right side
Third,8,2,7,Right-handed,On your right side
Third,6,5,8,Right-handed,On your stomach
First,5,3,8,Right-handed,On your left side
Second,8,2,8,Right-handed,On your right side
Third,8,10,6,Right-handed,On your left side
Second,4,5,8,Right-handed,On your right side
Second,7,5,7,Left-handed,On your right side
Fourth,4,5,7,Right-handed,On your left side
First,6,4,8,Right-handed,On your left side
First,3,10,7,Right-handed,On your back
Third,3,3,7,Right-handed,On your back
First,4,8,7,Right-handed,On your back
Second,5,2,9,Right-handed,On your back
Fourth,5,3,8,Right-handed,On your back
Second,8,6,6,Right-handed,On your left side
First,4,3,7,Right-handed,On your right side
Fourth,8,3,7,Right-handed,On your left side
First,5,40,6,Right-handed,On your left side
Second,3,4,7,Right-handed,On your back
First,4,4,8,Right-handed,On your right side
Second,2,5,8,Right-handed,On your left side
First,2,2,8,Right-handed,On your back
Fourth,5,2,7,Right-handed,On your stomach
First,7,6,6,Right-handed,On your stomach
Fourth,3,5,7,Right-handed,On your left side
Second,8,6,6,Right-handed,On your right side
First,2,2,7,Right-handed,On your right side
First,2,4,5,Left-handed,On your right side
Second,8,6,7,Right-handed,On your stomach
Third,3,4,8,Right-handed,On your stomach
Third,7,10,7,Right-handed,On your left side
Fourth,3,2,8,Right-handed,On your right side
Third,3,0,6,Right-handed,On your left side
Second,7,4,7,Right-handed,On your right side
First,3,7,7,Right-handed,On your left side
Second,8,7,6,Right-handed,On your left side
Second,7,10,6,Right-handed,On your back
First,7,5,8,Right-handed,On your left side
Second,6,5,6,Right-handed,On your back
Third,2,3,5,Right-handed,On your back
First,7,2,7,Right-handed,On your back
First,4,5,7,Right-handed,On your left side
First,7,10,6,Right-handed,On your right side
First,5,5,8,Right-handed,On your right side
First,3,5,6,Left-handed,On your left side
First,3,3,9,Left-handed,On your back
Third,6,35,4,Right-handed,On your stomach
Second,5,2,8,Right-handed,On your right side
Third,8,6,7,Right-handed,On your back
First,6,15,7,Right-handed,On your right side
Third,6,4,6,Left-handed,On your back
Second,5,5,7,Right-handed,On your stomach
First,6,10,7,Right-handed,On your right side
Third,3,4,7,Right-handed,On your left side
Third,5,5,6,Right-handed,On your stomach
First,7,2,6,Right-handed,On your right side
Third,7,10,7,Right-handed,On your stomach
Third,5,4,7,Right-handed,On your left side
Second,7,7,8,Right-handed,On your back
Second,8,7,7,Right-handed,On your right side
Third,5,4,8,Right-handed,On your left side
Third,8,8,7,Right-handed,On your stomach
Fourth,6,5,6,Right-handed,On your back
Second,5,4,5,Right-handed,On your left side
Third,3,4,7,Right-handed,On your back
Fourth,2,1,8,Right-handed,On your right side
Second,4,3,8,Right-handed,On your right side
Fourth,4,3,7,Right-handed,On your right side
Second,2,2,7.5,Right-handed,On your right side
First,4,2,6,Right-handed,On your back
Fourth,8,20,8,Right-handed,On your right side
First,4,4,7,Right-handed,On your left side
Second,7,15,9,Right-handed,On your right side
First,6,5,7,Right-handed,On your back
Third,6,4,6,Right-handed,On your right side
Fourth,5,6,8,Right-handed,On your back
Second,9,5,6,Right-handed,On your stomach
Third,7,10,9,Right-handed,On your left side
Third,3,10,7,Right-handed,On your back
First,8,11,7,Right-handed,On your right side
Second,5,5,5,Right-handed,On your left side
Fourth,6,3,7,Right-handed,On your left side
First,7,5,8,Right-handed,On your stomach
Second,5,15,5,Right-handed,On your back
Third,4,2,5,Right-handed,On your back
First,8,9,7,Right-handed,On your stomach
Second,8,10,7,Right-handed,On your left side
First,6,5,7,Right-handed,On your stomach
Third,6,5,5,Right-handed,On your back
First,5,9,9,Right-handed,On your right side
Second,8,15,7,Right-handed,On your back
Third,8,20,8,Right-handed,On your stomach
First,6,5,7,Right-handed,On your back
First,6,10,6,Right-handed,On your stomach
Second,7,10,6,Right-handed,On your right side
Second,8,10,7,Right-handed,On your stomach
Second,4,4,8,Right-handed,On your right side
First,4,10,7,Right-handed,On your left side
First,4,10,7,Right-handed,On your stomach
Second,9,2,6,Right-handed,On your right side
Second,9,10,10,Right-handed,On your right side
First,5,11,6,Right-handed,On your stomach
Third,6,12,7,Right-handed,On your stomach
First,7,6,6.5,Left-handed,On your left side
First,6,4,8,Right-handed,On your back
Second,5,1,9,Right-handed,On your left side
Third,8,3,7,Right-handed,On your left side
Second,7,8,5,Right-handed,On your back
Second,8,18,7,Right-handed,On your right side
Fifth or above,2,5,8,Right-handed,On your stomach
Second,7,10,8,Right-handed,On your back
First,9,5,8,Right-handed,On your right side
First,6,12,7,Right-handed,On your back
Second,8,7,7,Right-handed,On your stomach
Fourth,1,8,8,Right-handed,On your back
Second,7,8,7,Right-handed,On your right side
Second,4,5,6,Right-handed,On your back
Second,7,4,7,Right-handed,On your right side
Fifth or above,4,5,9,Right-handed,On your left side
First,7,8,8,Right-handed,On your left side
First,3,5,7,Right-handed,On your right side
First,7,4,8,Right-handed,On your back
Second,8,8,9,Right-handed,On your left side
First,8,10,7,Right-handed,On your stomach
Fourth,8,5,7,Right-handed,On your right side
Second,9,5,7,Right-handed,On your back
First,1,4,8,Right-handed,On your back
First,6,2,9,Right-handed,On your right side
First,4,5,7,Right-handed,On your left side
First,8,8,6,Right-handed,On your right side
Second,3,4,7,Right-handed,On your back
First,8,3,7,Right-handed,On your stomach
Second,2,9,7,Right-handed,On your left side
First,8,3,6,Right-handed,On your back
Third,8,10,9,Right-handed,On your left side
First,7,8,7.5,Right-handed,On your right side
First,4,3,7,Right-handed,On your left side
First,3,3,6,Left-handed,On your right side
Third,3,3,7,Right-handed,On your left side
Third,7,2,8,Right-handed,On your back
Fourth,5,2,8,Right-handed,On your right side
Second,5,10,8,Right-handed,On your back
Second,6,5,7,Right-handed,On your right side
Fourth,7,5,8,Left-handed,On your back
Second,4,3,8,Ambidextrous,On your left side
Second,3,4,9,Right-handed,On your stomach
Second,3,2,5,Left-handed,On your back
First,8,10,7,Right-handed,On your left side
Second,4,3,7.8,Left-handed,On your left side
Fourth,8,8,7,Right-handed,On your left side
Third,3,2,6,Right-handed,On your left side
First,5,2,8,Right-handed,On your right side
Second,7,60,7,Right-handed,On your right side
First,7,7,7,Right-handed,On your right side
First,4,10,7,Right-handed,On your stomach
Fourth,8,6,6,Right-handed,On your right side
First,4,2,9,Right-handed,On your stomach
Third,3,5,7,Right-handed,On your right side
First,3,10,7,Right-handed,On your right side
Second,5,5,7,Right-handed,On your back
Third,8,3,6,Right-handed,On your right side
Third,4,4,7,Left-handed,On your right side
Second,7,10,7,Right-handed,On your stomach
First,3,4,9,Right-handed,On your left side
Second,7,3,8,Right-handed,On your left side
Fourth,7,5,7,Right-handed,On your right side
Second,8,3,6,Right-handed,On your left side
First,7,4,5,Right-handed,On your left side
First,7,3,9,Right-handed,On your stomach
First,5,4,8,Left-handed,On your right side
Third,8,5,6,Right-handed,On your left side
Fourth,5,12,8,Right-handed,On your left side
Third,6,8,9,Right-handed,On your right side
First,8,10,7,Right-handed,On your back
Second,8,9,7,Right-handed,On your right side
First,7,4,7,Right-handed,On your right side
Second,6,4,6,Right-handed,On your left side
Third,5,3,9,Right-handed,On your stomach
First,3,6,8,Right-handed,On your left side
Second,8,9,10,Right-handed,On your right side
Second,9,5,8,Right-handed,On your right side
First,4,3,7,Right-handed,On your left side
Third,2,3,7,Right-handed,On your right side
Second,3,6,6,Right-handed,On your right side
Second,6,3,6,Right-handed,On your stomach
First,6,2,6,Right-handed,On your back
First,5,5,7,Right-handed,On your stomach
First,4,24,7,Right-handed,On your right side
Third,8,7,7,Right-handed,On your back
Third,5,5,7,Right-handed,On your left side
Fourth,4,6,9,Right-handed,On your back
First,6,3,7,Right-handed,On your right side
Second,2,1,7,Right-handed,On your back
Third,10,2,8,Right-handed,On your right side
Fourth,9,3,8,Right-handed,On your left side
Second,7,10,7,Right-handed,On your stomach
Fifth or above,8,3,9,Right-handed,On your right side
Second,8,14,7,Right-handed,On your left side
Third,4,4,6,Right-handed,On your left side
Fourth,3,10,6,Right-handed,On your left side
First,8,15,7,Right-handed,On your back
Second,7,10,7,Right-handed,On your back
Third,8,5,8,Left-handed,On your right side
First,5,2,5,Right-handed,On your back
Third,4,5,5,Left-handed,On your stomach
Third,6,2,7,Right-handed,On your back
Third,2,1,8,Right-handed,On your left side
Fourth,7,7,7,Right-handed,On your right side
Fourth,5,1,8,Right-handed,On your back
Third,5,3,6,Right-handed,On your back
Third,5,7,6,Right-handed,On your back
First,7,8,7,Right-handed,On your stomach
First,4,4,7,Right-handed,On your back
First,4,1,6,Right-handed,On your back
Second,4,8,8,Right-handed,On your back
Third,9,10,5,Left-handed,On your right side
First,7,15,7,Right-handed,On your left side
Third,9,7,8,Right-handed,On your right side
First,8,25,8,Right-handed,On your stomach
First,8,5,7,Right-handed,On your back
First,2,6,8,Right-handed,On your left side
First,8,5,7,Right-handed,On your back
First,4,2,7,Right-handed,On your back
First,4,5,7,Right-handed,On your stomach
Second,7,3,7,Right-handed,On your right side
Fourth,8,2,8,Right-handed,On your right side
Second,7,7,7.5,Right-handed,On your right side
Second,5,3,8,Right-handed,On your left side
First,9,3,7,Right-handed,On your left side
First,8,10,8,Right-handed,On your left side
First,3,3,5,Right-handed,On your left side
First,4,1,5,Right-handed,On your stomach
Third,7,10,7,Right-handed,On your left side
Second,6,5,8,Right-handed,On your right side
First,8,5,7,Right-handed,On your left side
First,8,12,6,Right-handed,On your stomach
First,8,10,7,Right-handed,On your stomach
Third,4,5,6,Right-handed,On your right side
Third,2,2,6,Right-handed,On your right side
Second,7,25,7,Right-handed,On your stomach
First,7,10,7,Right-handed,On your back
Third,5,5,6,Right-handed,On your left side
Second,8,4,7,Right-handed,On your right side
Third,5,2,8,Right-handed,On your stomach
Second,7,12,8,Right-handed,On your back
First,7,5,7,Right-handed,On your stomach
Fourth,7,6,7,Right-handed,On your right side
First,6,6,5,Right-handed,On your left side
Third,7,3,6,Right-handed,On your back
Fourth,4,4,6,Right-handed,On your right side
Second,9,10,8,Right-handed,On your right side
First,5,2,5,Right-handed,On your right side
Third,6,3,6,Right-handed,On your right side
Second,6,5,7.5,Right-handed,On your back
First,7,4,7,Right-handed,On your right side
First,8,5,6,Right-handed,On your right side
Third,8,30,8,Right-handed,On your right side
Second,4,6,5,Right-handed,On your back
Second,7,10,7,Right-handed,On your stomach
Second,2,5,6.5,Right-handed,On your right side
Second,4,3,7,Right-handed,On your right side
Third,7,2,7,Right-handed,On your stomach
Second,2,14,8,Right-handed,On your right side
First,6,7,6,Right-handed,On your left side
First,6,6,7,Right-handed,On your stomach
Fourth,8,5,6,Right-handed,On your right side
Second,5,3,7,Right-handed,On your back
Fourth,8,3,6,Right-handed,On your left side
First,9,15,7,Right-handed,On your left side
Fourth,8,1,4,Right-handed,On your back
Second,2,7,8,Right-handed,On your right side
Second,7,12,7,Right-handed,On your left side
Second,6,3,7,Right-handed,On your right side
First,1,1,5,Right-handed,On your stomach
Second,3,3,7,Right-handed,On your back
Third,2,2,12,Right-handed,On your right side
Fourth,6,2,7,Right-handed,On your back
Second,7,10,7,Right-handed,On your left side
Third,4,4,7.5,Right-handed,On your left side
First,3,13,7,Right-handed,On your right side
Second,4,5,7,Right-handed,On your stomach
Second,6,15,5,Right-handed,On your right side
First,6,3,7,Right-handed,On your stomach
First,8,9,7,Right-handed,On your right side
First,8,7,6,Left-handed,On your right side
Third,4,4,5,Right-handed,On your right side
Fourth,6,7,7,Right-handed,On your right side
Second,3,3,6,Right-handed,On your back
Second,6,7,8,Right-handed,On your right side
Second,10,15,7,Right-handed,On your right side
Fourth,4,5,10,Right-handed,On your left side
Fourth,5,2,8,Right-handed,On your left side
Second,6,3,7,Right-handed,On your left side
First,9,30,7,Right-handed,On your stomach
Fourth,5,8,8,Right-handed,On your left side
Third,5,2,7,Right-handed,On your right side
First,3,3,7,Right-handed,On your back
Second,8,3,7,Right-handed,On your left side
Second,5,5,7,Right-handed,On your stomach
Second,6,5,7,Right-handed,On your left side
Second,3,6,7,Right-handed,On your right side
Third,4,3,6,Right-handed,On your left side
Third,5,1,7.5,Right-handed,On your back
Third,7,4,6,Right-handed,On your left side
First,3,4,7,Right-handed,On your stomach
First,7,8,7,Right-handed,On your back
Second,8,3,8,Right-handed,On your left side
First,2,2,7,Right-handed,On your left side
Fourth,8,8,7,Right-handed,On your right side
Second,4,5,5,Right-handed,On your left side
Fourth,3,24,8,Right-handed,On your left side
First,4,1,6,Right-handed,On your back
Third,7,20,7,Right-handed,On your right side
First,3,1,5,Right-handed,On your left side
Fourth,5,3,6,Right-handed,On your right side
Third,4,3,6,Right-handed,On your right side
Third,3,3,7.5,Right-handed,On your right side
Third,5,2,6.5,Right-handed,On your right side
First,4,1,7,Right-handed,On your left side
Fourth,6,2,7,Right-handed,On your right side
Second,8,10,8,Left-handed,On your stomach
First,7,10,5,Right-handed,On your right side
First,7,5,6,Right-handed,On your left side
Second,7,4,7,Right-handed,On your stomach
Fifth or above,5,6,5,Right-handed,On your left side
Third,6,6,7,Right-handed,On your right side
Second,5,5,5,Right-handed,On your stomach
Second,5,6,4,Right-handed,On your left side
Third,3,3,5,Right-handed,On your right side
Third,4,10,7,Right-handed,On your right side
Third,6,5,8,Right-handed,On your stomach
First,5,5,6,Right-handed,On your right side
Second,8,14,5,Right-handed,On your right side
Fourth,4,4,6,Right-handed,On your right side
Third,9,2,8,Right-handed,On your left side
Third,7,1,5,Right-handed,On your stomach
Third,5,8,7,Right-handed,On your back
Third,6,2,5,Right-handed,On your stomach
Fourth,7,14,8,Right-handed,On your back
Third,3,6,5,Right-handed,On your right side
Second,7,5,7,Right-handed,On your left side
Third,4,7,6,Right-handed,On your back
Third,7,7,7,Right-handed,On your left side
Second,5,2,8,Right-handed,On your right side
Fourth,8,5,6,Right-handed,On your right side
Second,6,5,7.5,Right-handed,On your right side
First,5,5,8,Right-handed,On your left side
Second,6,2,7,Right-handed,On your left side
Fifth or above,3,5,8,Right-handed,On your right side
