State,District,Median Income,Percent voting for Clinton,College%
Texas,"Congressional District 28 (115th Congress), Texas",44021,58.3,17.7
Texas,"Congressional District 29 (115th Congress), Texas",41737,71.1,10.4
Texas,"Congressional District 3 (115th Congress), Texas",88619,40.6,53.5
Texas,"Congressional District 30 (115th Congress), Texas",44689,79.1,20.5
Texas,"Congressional District 31 (115th Congress), Texas",69228,40.8,34.3
Texas,"Congressional District 32 (115th Congress), Texas",70119,48.5,43.4
Texas,"Congressional District 33 (115th Congress), Texas",38445,72.9,9.3
Texas,"Congressional District 34 (115th Congress), Texas",37989,59.2,15.1
Texas,"Congressional District 35 (115th Congress), Texas",48490,64.1,20.4
Texas,"Congressional District 36 (115th Congress), Texas",58984,25.2,19.4
Texas,"Congressional District 4 (115th Congress), Texas",52481,21.8,22.1
Texas,"Congressional District 5 (115th Congress), Texas",50536,34.3,21.1
Texas,"Congressional District 6 (115th Congress), Texas",65758,41.9,28.7
Texas,"Congressional District 7 (115th Congress), Texas",71183,48.5,50.7
Texas,"Congressional District 8 (115th Congress), Texas",64861,23.9,30.2
Texas,"Congressional District 9 (115th Congress), Texas",46048,79.3,23.8
Utah,"Congressional District 1 (115th Congress), Utah",65896,22.4,28.9
Utah,"Congressional District 2 (115th Congress), Utah",60700,32.0,32.5
Utah,"Congressional District 3 (115th Congress), Utah",70763,23.3,41.6
Utah,"Congressional District 4 (115th Congress), Utah",68711,32.4,28.2
Vermont,"Congressional District (at Large) (115th Congress), Vermont",57677,56.7,36.4
Virginia,"Congressional District 1 (115th Congress), Virginia",81338,41.2,37.5
Virginia,"Congressional District 10 (115th Congress), Virginia",120384,52.2,54.3
Virginia,"Congressional District 11 (115th Congress), Virginia",106554,66.9,55.5
Virginia,"Congressional District 2 (115th Congress), Virginia",66953,45.4,34.4
Virginia,"Congressional District 3 (115th Congress), Virginia",51794,63.6,26.2
Virginia,"Congressional District 4 (115th Congress), Virginia",54607,58.7,30.1
Virginia,"Congressional District 5 (115th Congress), Virginia",52237,42.3,27.9
Virginia,"Congressional District 6 (115th Congress), Virginia",50061,34.9,26.6
Virginia,"Congressional District 7 (115th Congress), Virginia",73580,44.0,39.0
Virginia,"Congressional District 8 (115th Congress), Virginia",100719,73.5,61.8
Virginia,"Congressional District 9 (115th Congress), Virginia",41698,27.3,20.4
Washington,"Congressional District 1 (115th Congress), Washington",91018,54.1,43.4
Washington,"Congressional District 10 (115th Congress), Washington",62206,51.3,28.7
Washington,"Congressional District 2 (115th Congress), Washington",65187,56.9,30.3
Washington,"Congressional District 3 (115th Congress), Washington",61304,42.5,25.4
Washington,"Congressional District 4 (115th Congress), Washington",52484,35.1,20.1
Washington,"Congressional District 5 (115th Congress), Washington",51697,39.1,30.4
Washington,"Congressional District 6 (115th Congress), Washington",60616,51.8,29.7
Washington,"Congressional District 7 (115th Congress), Washington",84579,82.1,61.0
Washington,"Congressional District 8 (115th Congress), Washington",79516,47.7,34.5
Washington,"Congressional District 9 (115th Congress), Washington",75407,70.5,41.8
West Virginia,"Congressional District 1 (115th Congress), West Virginia",45611,26.4,23.5
West Virginia,"Congressional District 2 (115th Congress), West Virginia",48358,29.4,21.5
West Virginia,"Congressional District 3 (115th Congress), West Virginia",37728,23.3,17.4
Wisconsin,"Congressional District 1 (115th Congress), Wisconsin",61589,42.3,28.2
Wisconsin,"Congressional District 2 (115th Congress), Wisconsin",65589,65.8,42.6
Wisconsin,"Congressional District 3 (115th Congress), Wisconsin",52154,44.8,25.4
Wisconsin,"Congressional District 4 (115th Congress), Wisconsin",41816,74.0,27.4
Wisconsin,"Congressional District 5 (115th Congress), Wisconsin",68162,37.3,36.9
Wisconsin,"Congressional District 6 (115th Congress), Wisconsin",57129,38.8,26.4
Wisconsin,"Congressional District 7 (115th Congress), Wisconsin",51738,37.3,23.1
Wisconsin,"Congressional District 8 (115th Congress), Wisconsin",57888,38.6,25.4
Wyoming,"Congressional District (at Large) (115th Congress), Wyoming",59882,22.5,27.1
