Player,Salary,Year Drafted,Pick Number,Position
Richard Rodgers,805000,2014,98,TE
Steven Nelson,1500000,2015,98,CB
Ben Jones,4500000,2012,99,C
Dustin Colquitt,2450000,2005,99,P
Isaac Yiadom,570000,2018,99,CB
Joe Schobert,2025000,2016,99,OLB
K.J. Wright,1500000,2011,99,LB
Mike Edwards,495000,2019,99,S
Rasul Douglas,670000,2017,99,CB
Akeem Spence,2900000,2013,100,DT
Angelo Blackson,2000000,2015,100,DT
Dorian O'Daniel,584000,2018,100,OLB
Everson Griffen,6400000,2010,100,DE
Jonnu Smith,669000,2017,100,TE
Travis Benjamin,5250000,2012,100,WR
Will Grier,495000,2019,100,QB
Ian Thomas,570000,2018,101,TE
Jaylen Watkins,805000,2014,101,CB
Trey Flowers,805000,2015,101,DE
Alexander Mattison,495000,2019,102,RB
Bashaud Breeland,805000,2014,102,CB
Daryl Williams,2250000,2015,102,OT
Jalyn Holmes,570000,2018,102,DE
Kirk Cousins,27500000,2012,102,QB
Alex Okafor,805000,2013,103,DE
Devonta Freeman,3750000,2014,103,RB
Keke Coutee,570000,2018,103,WR
Sam Acho,930000,2011,103,OLB
Sheldon Day,720000,2016,103,DT
Trey Hendrickson,668000,2017,103,DE
Luke Stocker,1400000,2011,104,TE
Nyheim Hines,570000,2018,104,RB
Ryan Finley,495000,2019,104,QB
Antonio Callaway,570000,2018,105,WR
Chauncey Gardner-Johnson,495000,2019,105,S
James Conner,668000,2017,105,RB
Jamison Crowder,1500000,2015,105,WR
Nigel Bradham,930000,2012,105,OLB
Parker Ehinger,720000,2016,105,OG
Eric Murray,2015500,2016,106,CB
Josey Jewell,570000,2018,106,ILB
Maxx Crosby,822500,2019,106,EDGE
Anthony Nelson,495000,2019,107,DL
Chris Herndon,570000,2018,107,TE
Chris Moore,720000,2016,107,WR
Justin Ellis,2250000,2014,107,DT
Justin Hardy,805000,2015,107,WR
Cassius Marsh,850000,2014,108,DE
Julian Love,495000,2019,108,CB
Ryan Smith,2025000,2016,108,CB
Vince Biegel,645000,2017,108,OLB
B.J. Goodson,720000,2016,109,OLB
Clayton Geathers,1250000,2015,109,SS
David Bakhtiari,8500000,2013,109,OT
Jaleel Johnson,645000,2017,109,DT
Khari Willis,495000,2019,109,S
Ross Cockrell,2300000,2014,109,CB
Troy Apke,570000,2018,109,S
Dede Westbrook,645000,2017,110,WR
Maurice Alexander,850000,2014,110,SS
Mitch Wishnowsky,495000,2019,110,P
Nick Nelson,570000,2018,110,CB
Tyler Higbee,2025000,2016,110,TE
Brian Allen,570000,2018,111,C
Kendall Sheffield,495000,2019,111,CB
Miles Killebrew,720000,2016,111,SS
Tedric Thompson,645000,2017,111,SS
Bobby Massie,2400000,2012,112,T
DaQuan Jones,6000000,2014,112,DT
Eddie Jackson,645000,2017,112,SS
Mark Walton,495000,2018,112,RB
DaeSean Hamilton,570000,2018,113,WR
Justice Hill,812500,2019,113,RB
Kyle Wilber,1150000,2012,113,OLB
Nick Kwiatkoski,2025000,2016,113,ILB
Rayshawn Jenkins,645000,2017,113,FS
Aaron Colvin,7500000,2014,114,CB
B.W. Webb,1000000,2013,114,CB
Da'Shawn Hand,570000,2018,114,DE
Dru Samia,812500,2019,114,OL
Jamil Douglas,570000,2015,114,OG
Samaje Perine,645000,2017,114,RB
Christian Miller,495000,2019,115,EDGE
De'Vondre Campbell,2025000,2016,115,OLB
Ibraheim Campbell,720000,2015,115,SS
Joel Iyiegbuniwe,570000,2018,115,LB
Amani Hooker,495000,2019,116,S
Carl Lawson,645000,2017,116,DE
Dorance Armstrong,570000,2018,116,DE
Earl Watford,805000,2013,116,OG
Hassan Ridgeway,720000,2016,116,DT
Rodney Gunter,1000000,2015,116,DT
Zak DeOssie,1030000,2007,116,LB
Austin Bryant,495000,2019,117,EDGE
Blake Bell,805000,2015,117,TE
Joe Looney,1000000,2012,117,G
Jordan Whitehead,570000,2018,117,SS
Josh Reynolds,645000,2017,117,WR
Pharoh Cooper,720000,2016,117,WR
Anthony Averett,570000,2018,118,CB
Jarius Wright,1500000,2012,118,WR
Juston Burris,645000,2016,118,CB
Mack Hollins,645000,2017,118,WR
Ramik Wilson,805000,2015,118,ILB
Stephen Gostkowski,1100000,2006,118,K
Andrew Donnal,805000,2015,119,OT
Anthony Hitchens,6500000,2014,119,OLB
Kyzir White,570000,2018,119,S
Sheldrick Redwine,800000,2019,119,S
Tarik Cohen,645000,2017,119,RB
Tyler Ervin,720000,2016,119,RB
Ben Gedeon,645000,2017,120,ILB
David Onyemata,2025000,2016,120,DT
Gary Jennings,495000,2019,120,WR
Geno Atkins,8000000,2010,120,DT
Logan Thomas,805000,2014,120,QB/TE
Will Dissly,570000,2018,120,TE
Taron Johnson,570000,2018,121,CB
Trevon Wesco,495000,2019,121,TE
Andrew Billings,720000,2016,122,DT
Benny Snell,495000,2019,122,nan
J.C. Tretter,5500000,2013,122,OG
Kenny Young,570000,2018,122,LB
Za'Darius Smith,1000000,2015,122,DE
Al Woods,1250000,2010,123,DT
Ben Powers,802500,2019,123,OL
Durham Smythe,570000,2018,123,TE
Jerald Hawkins,720000,2016,123,OT
Montae Nicholson,645000,2017,123,SS
Armani Watts,570000,2018,124,FS
De'Anthony Thomas,805000,2014,124,RB
Deon Bush,720000,2016,124,FS
Jalen Reeves-Maybin,645000,2017,124,OLB
Kwon Alexander,1750000,2015,124,OLB
Avonte Maddox,570000,2018,125,CB
Javorius Allen,805000,2015,125,RB
Renell Wren,495000,2019,125,DL
Samson Ebukam,645000,2017,125,OLB
Taiwan Jones,930000,2011,125,RB
Walt Aikens,1400000,2014,125,CB
Bilal Powell,930000,2011,126,RB
Demarcus Robinson,2015500,2016,126,WR
Ito Smith,570000,2018,126,RB
Mike Davis,1000000,2015,126,RB
Riley Ridley,495000,2019,126,WR
William Gholston,3750000,2013,126,DE
Damien Wilson,720000,2015,127,ILB
Pierre Desir,1000000,2014,127,CB
Evan Boehm,3095000,2016,128,C
Jon Feliciano,2400000,2015,128,OG
Josh Malone,645000,2017,128,WR
Kentavius Street,495000,2018,128,DT
Rhett Ellison,4475000,2012,128,FB
Tony Pollard,495000,2019,128,RB
Tre Boston,1125000,2014,128,FS
David Sharpe,645000,2017,129,OT
Dontae Johnson,805000,2014,129,FS
Isaiah Johnson,792500,2019,129,CB
Jake Ryan,1000000,2015,129,OLB
John Simon,900000,2013,129,DE
Will Richardson,570000,2018,129,OT
Alex Lewis,2025000,2016,130,OT
Darren Sproles,1030000,2005,130,RB
Drue Tranquill,495000,2019,130,LB
James White,2500000,2014,130,RB
Josh Sweat,570000,2018,130,DE
Julie'n Davenport,645000,2017,130,OT
Kyle Juszczyk,4200000,2013,130,FB
Blake Martinez,2025000,2016,131,ILB
Deatrich Wise,645000,2017,131,DE
Kalen Ballage,570000,2018,131,RB
Shaq Mason,4000000,2015,131,G
Wes Martin,495000,2019,131,G
Jaleel Scott,495000,2018,132,WR
Kevin Pierre-Louis,805000,2014,132,OLB
Mike Daniels,7800000,2012,132,DT
Ugochukwu Amadi,495000,2019,132,S
Jarrett Stidham,495000,2019,133,QB
Levine Toilolo,805000,2013,133,TE
Max Garcia,1100000,2015,133,C
Nevin Lawson,1000000,2014,133,CB
Ryan Switzer,645000,2017,133,WR
Brent Urban,850000,2014,134,DE
Chase Edmonds,570000,2018,134,RB
Greg Gaines,495000,2019,134,DL
Jamaal Williams,645000,2017,134,RB
Mark Glowinski,1500000,2015,134,OG
Dak Prescott,2025000,2016,135,QB
John Cominsky,495000,2019,135,DE
Anthony Sherman,930000,2011,136,RB
Devontae Booker,720000,2016,136,RB
Marquis Haynes,570000,2018,136,OLB
Michael Jordan,495000,2019,136,OL
Sean Harlow,570000,2017,136,OG
Buster Skrine,2250000,2011,137,DB
Dakota Dozier,805000,2014,137,OT
Dalton Schultz,570000,2018,137,TE
Dean Lowry,2025000,2016,137,DE
Foster Moreau,910000,2019,137,TE
Grady Jarrett,15209000,2015,137,DT
Malik Jackson,1000000,2012,137,DT
Zach Banner,645000,2017,137,OG
Marcus Cannon,5500000,2011,138,OL
Ryan Glasgow,645000,2017,138,DT
Seth Devalve,720000,2016,138,TE
Shareef Miller,495000,2019,138,EDGE
Tahir Whitehead,2950000,2012,138,OLB
Deionte Thompson,495000,2019,139,S
R.J. McIntosh,570000,2018,139,DT
Brandon Carr,4500000,2008,140,DB
Cameron Fleming,1000000,2014,140,OT
Maurice Hurst,570000,2018,140,DT
Najee Goode,805000,2012,140,ILB
Ryquell Armstead,495000,2019,140,RB
Tajae Sharpe,2025000,2016,140,WR
Wayne Gallman,645000,2017,140,RB
Oday Aboushi,1000000,2013,141,OT
Shaquem Griffin,570000,2018,141,OLB
Zach Gentry,715000,2019,141,TE
Adrian Amos,1250000,2015,142,FS
Ben Burr-Kirven,495000,2019,142,LB
Carlos Watkins,645000,2017,142,DT
D.J. Reed,570000,2018,142,CB
Kevin Huber,2350000,2009,142,P
Ronald Blair,720000,2016,142,DE
Ryan Grant,805000,2014,142,WR
DeAndre Washington,720000,2016,143,RB
Ja'Whaun Bentley,570000,2018,143,ILB
Josh Norman,11000000,2012,143,CB
Marlon Mack,645000,2017,143,RB
MyCole Pruitt,720000,2015,143,TE
Orlando Scandrick,1030000,2008,143,DB
Ryan Connelly,495000,2019,143,LB
Connor McGovern,2025000,2016,144,OG
Grover Stewart,645000,2017,144,DT
Justin Watson,570000,2018,144,WR
Kenny Stills,7975000,2013,144,WR
Marvell Tell,495000,2019,144,S
Sherrick McManis,1500000,2010,144,DB
Bilal Nichols,570000,2018,145,DT
Bobby McCain,5600000,2015,145,CB
Matt Gay,495000,2019,145,K
Amani Oruwariye,495000,2019,146,CB
George Kittle,645000,2017,146,TE
Matt Judon,2025000,2016,146,DE
Stefon Diggs,8900000,2015,146,WR
Tre Flowers,570000,2018,146,SS
Brett Hundley,1125000,2015,147,QB
Quinton Jefferson,2025000,2016,147,DT
Ricardo Allen,3500000,2014,147,CB
A.J. Klein,4100000,2013,148,ILB
Caleb Benenoch,2025000,2016,148,OT
Dre Greenlaw,710000,2019,148,LB
Marcus Allen,570000,2018,148,S
Damontae Kazee,645000,2017,149,CB
Dion Lewis,4000000,2011,149,RB
Hunter Renfrow,707500,2019,149,WR
Michael Dickson,570000,2018,149,P
Paul Perkins,720000,2016,149,RB
Aaron Lynch,1000000,2014,150,DE
Genard Avery,570000,2018,150,LB
Jordan Howard,2025000,2016,150,RB
Kingsley Keke,495000,2019,150,DL
Andrew Van Ginkel,495000,2019,151,LB
Davontae Harris,570000,2018,151,CB
Desmond King,645000,2017,151,FS
Joe Dahl,720000,2016,151,OG
Senio Kelemete,2750000,2012,151,T
Corn Elder,645000,2017,152,CB
Dane Cruikshank,570000,2018,152,CB
Matthew Ioannidis,2025000,2016,152,DT
Qadree Ollison,495000,2019,152,RB
Dennis Kelly,1350000,2012,153,OT
Jake Elliott,645000,2017,153,K
Matthew Slater,1600000,2008,153,WR
Ross Pierschbacher,495000,2019,153,OL
Tyrell Crosby,570000,2018,153,OT
Wendell Smallwood,720000,2016,153,RB
Chris Thompson,2750000,2013,154,RB
Jeremy Sprinkle,645000,2017,154,TE
Jordan Scarlett,495000,2019,154,RB
Richard Sherman,7000000,2011,154,DB
Siran Neal,570000,2018,154,CB
Tyeler Davison,805000,2015,154,DT
Jayon Brown,645000,2017,155,ILB
Joe Haeg,2025000,2016,155,OT
Mack Wilson,495000,2019,155,LB
Scott Quessenberry,570000,2018,155,C
Brian Hill,645000,2017,156,RB
Jonathan Williams,720000,2016,156,RB
Justin Hollins,495000,2019,156,EDGE
Troy Fumagalli,495000,2018,156,TE
Blake Cashman,495000,2019,157,LB
C.J. Uzomah,1500000,2015,157,TE
LeShaun Sims,720000,2016,157,CB
Tyler Conklin,570000,2018,157,TE
Andrew Brown,495000,2018,158,DE
Brandon Shell,2025000,2016,158,OT
Caraun Reid,805000,2014,158,DT
Jack Crawford,2550000,2012,158,DE
Luke Willson,805000,2013,158,TE
Michael Jackson,495000,2019,158,CB
Nate Hairston,645000,2017,158,CB
Byron Cowart,495000,2019,159,DL
Chris Smith,2750000,2014,159,DE
JJ Nelson,805000,2015,159,WR
Jermaine Eluemunor,645000,2017,159,OG
Lee Smith,1900000,2011,159,TE
Micah Hyde,3950000,2013,159,CB
Daylon Mack,704500,2019,160,DL
Jesse James,805000,2015,160,TE
Kentrell Brothers,720000,2016,160,ILB
Ogbonnia Okoronkwo,570000,2018,160,DE
Roderick Johnson,570000,2017,160,OT
Anthony Walker,645000,2017,161,LB
Charles Omenihu,495000,2019,161,DL
Corey Linsley,4300000,2014,161,C
Jermaine Carter,570000,2018,161,LB
Randy Bullock,1475000,2012,161,K
Cameron Smith,702500,2019,162,LB
Jeremy McNichols,645000,2017,162,RB
Daniel Kilgore,2225000,2011,163,G
Jake Bailey,495000,2019,163,P
Jordan Mills,1700000,2013,163,OT
Matt Milano,645000,2017,163,OLB
Reshad Jones,13015000,2010,163,DB
Tim Settle,570000,2018,163,DT
Trevor Davis,720000,2016,163,WR
A.J. McCarron,1500000,2014,164,QB
E.J. Speed,700000,2019,164,LB
Halapoulivaati Vaitai,2025000,2016,164,OT
Natrell Jamerson,570000,2018,164,FS
Thomas Morstead,2950000,2009,164,P
Bradley Pinion,805000,2015,165,P
Jamal Agnew,645000,2017,165,CB
Jaylen Samuels,570000,2018,165,RB
Joe Jackson,495000,2019,165,EDGE
Pernell McPhee,930000,2011,165,DL
Sam Martin,2400000,2013,165,P
Tyreek Hill,1965036,2016,165,WR
D.J. Reader,2025000,2016,166,DT
Joe Cardona,805000,2015,166,LS
Marvin Jones,6500000,2012,166,WR
Wyatt Teller,570000,2018,166,OG
Avery Moss,570000,2017,167,DE
Daniel Carlson,570000,2018,167,K
Marqui Christian,720000,2016,167,SS
Jamarco Jones,495000,2018,168,OT
Marquel Lee,645000,2017,168,ILB
Ricky Wagner,9000000,2013,168,OT
David Edwards,495000,2019,169,OL
David Mayo,850000,2015,169,ILB
Jordan Wilkins,570000,2018,169,RB
Austin Seibert,495000,2019,170,K
Darius Phillips,570000,2018,170,CB
Eric Kush,1100000,2013,170,C
Darius Slayton,495000,2019,171,WR
Greg Zuerlein,2325000,2012,171,K
Nick Boyle,1000000,2015,171,TE
D.J. Alexander,805000,2015,172,OLB
Isaiah McKenzie,645000,2017,172,WR
JK Scott,570000,2018,172,P
Jordan Miller,495000,2019,172,CB
Rashard Higgins,2025000,2016,172,WR
Alfred Morris,930000,2012,173,RB
Cole Holcomb,495000,2019,173,LB
James O'Shaughnessy,805000,2015,173,TE
Charles Clay,1150000,2011,174,TE
Devon Kennard,3500000,2014,174,OLB
Eric Saubert,645000,2017,174,TE
KeeSean Johnson,495000,2019,174,WR
Marquez Valdes-Scantling,570000,2018,174,WR
Damion Ratley,570000,2018,175,WR
Delanie Walker,4080000,2006,175,TE
Jatavis Brown,2025000,2016,175,OLB
Andy Janovich,720000,2016,176,FB
David Quessenberry,495000,2013,176,OT
Dwayne Harris,930000,2011,176,WR
John Kelly,570000,2018,176,RB
Kaden Smith,679750,2019,176,TE
Dustin Hopkins,2275000,2013,177,K
Justin Bethel,1500000,2012,177,CB
Saquan Hampton,495000,2019,177,S
D.J. White,645000,2016,178,CB
Davon Godchaux,645000,2017,178,DT
Gardner Minshew,495000,2019,178,QB
Jon Halapio,645000,2014,179,OG
Parry Nickerson,570000,2018,179,CB
Sam Young,1030000,2010,179,T
T.J. Logan,645000,2017,179,RB
Corey Ballentine,495000,2019,180,CB
Danny Isidora,645000,2017,180,OG
Folorunso Fatukasi,570000,2018,180,DT
Tyrod Taylor,1000000,2011,180,QB
Jaquan Johnson,495000,2019,181,CB
Kylie Fitts,570000,2018,181,DE
Latavius Murray,1000000,2013,181,RB
Aaron Jones,645000,2017,182,RB
Antone Exum,805000,2014,182,CB
Kenjon Barner,805000,2013,182,RB
Trayveon Williams,495000,2019,182,RB
David Fales,805000,2014,183,QB
Devante Bond,645000,2016,183,OLB
Justin Skule,672500,2019,183,OT
Jerell Adams,645000,2016,184,TE
Marcell Harris,570000,2018,184,S
Nathan Gerry,645000,2017,184,SS
Travis Fulgham,495000,2019,184,WR
Caleb Brantley,645000,2017,185,DT
DeAndre Houston-Carson,720000,2016,185,FS
Deon Cain,495000,2018,185,WR
Ka'dar Hollman,672500,2019,185,CB
Chuck Clark,645000,2017,186,FS
Geremy Davis,805000,2015,186,WR
Jacob Martin,570000,2018,186,LB
Jakeem Grant,720000,2016,186,WR
Ty Johnson,495000,2019,186,RB
Bennett Jackson,495000,2014,187,CB
Juwann Winfree,495000,2019,187,WR
Ray-Ray McCloud,570000,2018,187,WR
Andy Lee,2000000,2004,188,P
Danny Trevathan,5800000,2012,188,OLB
David Long,495000,2019,188,LB
Simeon Thomas,495000,2018,188,CB
Anthony Brown,2025000,2016,189,CB
Drew Forbes,495000,2019,189,OT
T.J. Jones,805000,2014,189,WR
Tanzel Smart,645000,2017,189,DT
Armon Watts,670000,2019,190,DL
Colin Jones,930000,2011,190,DB
DeShon Elliott,570000,2018,190,SS
Rex Burkhead,1750000,2013,190,RB
Sam Tevi,645000,2017,190,OT
Jason Kelce,930000,2011,191,C
Marcus Epps,670000,2019,191,S
Pat O'Donnell,1250000,2014,191,P
Xavier Woods,645000,2017,191,SS
Alex Armah,645000,2017,192,FB
Isaiah Buggs,495000,2019,192,DL
Jamil Demby,570000,2018,192,OT
Matthew Bosher,2545000,2011,192,P
Chris Covington,570000,2018,193,LB
Jordan Evans,645000,2017,193,ILB
Mason Crosby,3200000,2007,193,K
Tom Compton,1410000,2012,193,T
Zach Fulton,6500000,2014,193,OG
Dexter Williams,670000,2019,194,RB
Nick O'Leary,1000000,2015,194,TE
Russell Gage,570000,2018,194,WR
Spencer Ware,805000,2013,194,RB
Vincent Taylor,645000,2017,194,DT
Antonio Brown,14625000,2010,195,WR
Sebastian Joseph,570000,2018,195,DT
Tanner Vallejo,645000,2017,195,ILB
Wes Schweitzer,2025000,2016,195,OT
Xavier Crawford,495000,2019,195,CB
Al-Quadin Muhammad,645000,2017,196,DE
Blake Countess,2025000,2016,196,CB
Blessuan Austin,495000,2019,196,CB
Tremon Smith,570000,2018,196,nan
Danny Vitale,720000,2016,197,FB
Nate Ebner,2000000,2012,197,DB
Shaun Dion Hamilton,570000,2018,197,LB
Trace McSorley,495000,2019,197,QB
D.J. Jones,645000,2017,198,DT
Derek Watt,720000,2016,198,FB
Chase Roullier,645000,2017,199,C
Cody Core,720000,2016,199,WR
Luke Falk,570000,2018,199,QB
Tom Brady,14000000,2000,199,QB
Emeke Egbule,495000,2019,200,LB
Foyesade Oluokun,570000,2018,200,S
Laurent Duvernay-Tardif,6203000,2014,200,OT
Quandre Diggs,2657000,2015,200,CB
